fold	prob_1	prob_2	prob_3	prob_4	std_1	std_2	std_3	std_4	LakeCode	true_label	true_idx	pred_idx	pred_label	entropy	entropy_norm	aleatoric_entropy	aleatoric_entropy_norm	epistemic_mi	margin_p1_p2	totvar_1	epivar_1	alevar_1	totvar_2	epivar_2	alevar_2	totvar_3	epivar_3	alevar_3	totvar_4	epivar_4	alevar_4	feat_meanTP	feat_meanTN	feat_meanTurb	feat_meanWC	feat_meanCond	feat_thermal_class	feat_bottom_DO_min	feat_surface_DO_min	feat_bottom_pH_min	feat_surface_pH_max	feat_area_m2	feat_SECCIDEPTH	feat_NEWDEPTH	feat_tyyppi_Lv	feat_tyyppi_Kh	feat_tyyppi_Mh	feat_tyyppi_MRh	feat_tyyppi_MVh	feat_tyyppi_Ph	feat_tyyppi_Vh	feat_tyyppi_PoLa	feat_tyyppi_Rh	feat_tyyppi_Rk	feat_tyyppi_Rr	feat_tyyppi_Sh	feat_tyyppi_SVh
5	0,000422847	0,0489944	0,727725863	0,222856894	0,003645353	0,056691866	0,063678548	0,095888175	599421001	3	2	2	3	0,716906667	0,517138846	0,956849635	0,690221111	-0,239942968	0,504868984	0,00512983	1,32886E-05	0,005116541	0,106930614	0,003213968	0,103716649	0,249235481	0,004054957	0,245180517	0,226110816	0,009194542	0,216916278	13,83333333	368,75	0,79	99,375	2,15	2,961538462	2,8	7,2	6	7	22346294,73	1,511	15,441	0	1	0	0	0	0	0	0	0	0	0	0	0
5	0,001205426	0,109091334	0,801687002	0,088016249	0,007942177	0,082346082	0,056868669	0,073808998	599511004	3	2	2	3	0,640903592	0,462314217	0,992450178	0,715901475	-0,351546586	0,692595661	0,0124055	6,30782E-05	0,012342421	0,177038521	0,006780877	0,170257643	0,245008305	0,003234046	0,241774261	0,151967376	0,005447768	0,146519601	41	450	1,5	203,3333333	2,1	2,979240075	2,600016667	6,8	6,365288889	6,2	1205065,896	1,06	3,367	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0,000305059	0,037716836	0,701364219	0,260613829	0,002931476	0,047684796	0,069469512	0,09377826	599521001	4	3	2	3	0,725336969	0,523220024	0,93245697	0,672625523	-0,207120001	0,44075039	0,003996776	8,59355E-06	0,003988182	0,089400597	0,00227384	0,087126754	0,249780089	0,004826013	0,244954079	0,236052826	0,008794362	0,227258459	17	350	1	150	1,8	3	0,7	7,9	6	6,4	5402740,461	1,371	18,857	0	0	0	0	0	0	0	0	1	0	0	0	0
5	6,69487E-05	0,008950369	0,507596433	0,483386308	0,001362639	0,02447146	0,08639209	0,101066947	599531007	4	3	2	3	0,738431573	0,532665784	0,783174098	0,564940693	-0,044742525	0,024210125	0,00128136	1,85678E-06	0,001279503	0,032397874	0,000598852	0,031799022	0,239345461	0,007463593	0,231881872	0,245319173	0,010214527	0,23510465	15	262,5	1	110	1,6	3	3,4	8	6	6,4	3814095,131	1,529	21,629	0	0	0	0	0	1	0	0	0	0	0	0	0
5	0,000180848	0,025914645	0,66491431	0,30899021	0,001799966	0,038599476	0,077428058	0,09891317	599531025	3	2	2	3	0,730465174	0,526919242	0,890918255	0,642661674	-0,160453081	0,3559241	0,002522771	3,23988E-06	0,002519531	0,068592012	0,001489919	0,06710209	0,24999164	0,005995104	0,243996531	0,244566053	0,009783815	0,234782234	19	302,5	1,1	160	1,6	1	6,2	7,8	6,1	6,2	2716591,873	1,157	8,643	0	0	0	0	0	1	0	0	0	0	0	0	0
5	0,00027156	0,034087602	0,706994712	0,25864619	0,00259058	0,041868597	0,072549112	0,095458835	599621004	3	2	2	3	0,712309301	0,513822548	0,916253865	0,660937453	-0,203944564	0,448348522	0,003550448	6,71111E-06	0,003543737	0,082330681	0,001752979	0,080577701	0,249398217	0,005263374	0,244134843	0,235929295	0,00911239	0,226816908	21	457,5	1,9	180	1,9	1	7,5	7,7	6,2	6,3	1145997,657	1,029	5,886	0	0	0	1	0	0	0	0	0	0	0	0	0
5	0,000179836	0,022351919	0,630873144	0,346595109	0,002353288	0,03918051	0,080807462	0,104785502	599731054	3	2	2	3	0,744370461	0,536949786	0,878092647	0,633409953	-0,133722186	0,284278035	0,002696651	5,53796E-06	0,002691114	0,062434096	0,001535112	0,060898982	0,249093905	0,006529846	0,242564052	0,248438522	0,010980001	0,237458527	19	410	1,2	200	1,5	2	5,9	7,8	5,5	6,2	1468807,162	0,767	8	0	0	0	1	0	0	0	0	0	0	0	0	0
5	2,71388E-05	0,00308964	0,367808282	0,629074991	0,001168895	0,017996036	0,10022974	0,11141967	599821009	4	3	3	4	0,677601218	0,488785959	0,67378515	0,486033247	0,003816068	0,261266708	0,000805726	1,36632E-06	0,000804359	0,016550407	0,000323857	0,016226549	0,215342984	0,010046002	0,205296978	0,221599728	0,012414344	0,209185392	23,3817346	310	0,6	55	1,4	3	6	9,3	6	6,6	1340338,064	2,5	30,25	0	0	0	0	0	1	0	0	0	0	0	0	0
5	0,085517846	0,711917877	0,201594159	0,000970244	0,151836991	0,108793795	0,090972304	0,016369076	600131028	2	1	1	2	0,781779766	0,563934896	0,885636508	0,638851699	-0,103856742	0,510323703	0,200912327	0,023054473	0,177857861	0,242524415	0,01183609	0,230688319	0,109014511	0,008275961	0,100738548	0,010463848	0,000267947	0,010195901	25,42957401	900	3,39763742	245	4,57	2,95328515	2,70085	7,2	6,400422222	6,9	1093988,595	0,533	1,25	1	0	0	0	0	0	0	0	0	0	0	0	0
5	0,680164874	0,319190949	0,000644186	1,44144E-08	0,160066798	0,157399744	0,005897127	0,000230424	600261007	1	0	0	1	0,631387711	0,455449959	0,441993922	0,31883122	0,189393789	0,360973924	0,164258912	0,025621381	0,138637528	0,162942797	0,024774678	0,138168126	0,002198387	3,47761E-05	0,002163611	3,56848E-05	5,30951E-08	3,56317E-05	80,33333333	1143,333333	13,56	247,5	3,473333333	2,955676695	1,542533333	7	6,363261111	6,6	1094673,638	0,569	2,15	0	0	0	1	0	0	0	0	0	0	0	0	0
