LakeCode	actual	XG	XG1	XG2	XG3	XG4	RF	RF1	RF2	RF3	RF4	SVM	SVM1	SVM2	SVM3	SVM4	ANN	ANN1	ANN2	ANN3	ANN4	TAB	TAB1	TAB2	TAB3	TAB4	BNN	BNN1	BNN2	BNN3	BNN4	fold
596331001	3	3	7,81054E-05	0,035946085	0,658667099	0,30530871	3	0,055630873	0,094844241	0,43482835	0,414696536	4	0,003938478	0,033045937	0,394936453	0,568079132	4	0,000517765	0,01813717	0,357812077	0,623532951	4	2,46267E-06	0,01185757	0,371750174	0,616389793	4	9,51182E-05	0,003073497	0,464488894	0,532342494	1
596811003	3	3	0,000275253	0,130450198	0,832190418	0,037084131	3	0,06181904	0,147749191	0,707624374	0,082807395	3	0,004405622	0,230517767	0,724204242	0,040872369	2	0,027399762	0,455859691	0,429223984	0,087516561	3	0,007584256	0,440595571	0,503367216	0,048452957	3	0,006471057	0,452412367	0,532016277	0,009100258	1
596821002	4	4	1,08478E-05	0,003940393	0,463305039	0,53274372	4	0,048001617	0,070647346	0,20416295	0,677188087	4	0,003949793	0,032060093	0,39355447	0,570435644	4	0,000786475	0,011190859	0,201445907	0,786576748	4	1,30461E-05	0,011589839	0,283143179	0,705253936	4	2,90431E-05	0,000720139	0,296391577	0,702859223	1
598111001	3	2	0,001965166	0,540013837	0,399721708	0,05829929	2	0,137062826	0,462476098	0,310406519	0,090054557	3	0,009033343	0,451482644	0,513811369	0,025672644	2	0,007870969	0,857762814	0,130349711	0,004016549	2	2,23013E-05	0,439563324	0,364217019	0,196197356	3	0,010410753	0,450298011	0,530528426	0,008762748	1
598221001	3	3	2,2348E-05	0,034971974	0,694090145	0,270915533	3	0,055641977	0,0953136	0,523030672	0,326013751	4	0,00393109	0,032001	0,394122254	0,569945656	4	0,000307449	0,010912401	0,295844585	0,692935586	4	0,000296966	0,027388718	0,408137886	0,564176429	4	8,92563E-05	0,003843891	0,470783472	0,525283337	1
598251005	3	3	0,000767896	0,285140194	0,667465782	0,046626128	3	0,078722141	0,194254875	0,617138264	0,109884719	3	0,004363349	0,166548348	0,733024362	0,096063941	3	0,011189887	0,206041813	0,514147818	0,268620461	3	0,000695108	0,131091301	0,590857126	0,277356466	3	0,001103769	0,053564113	0,817995548	0,127336606	1
598261001	2	3	7,00655E-05	0,217216332	0,772771913	0,009941689	3	0,07246238	0,227683644	0,635034866	0,064819109	3	0,004401834	0,174023146	0,742469253	0,079105767	3	0,00734771	0,28448835	0,579225898	0,128938034	3	0,006809426	0,469572689	0,472681612	0,050936273	3	0,002395306	0,122606993	0,81667459	0,058323059	1
598431007	3	3	2,66353E-05	0,004729335	0,717133019	0,278111012	3	0,05375034	0,079992118	0,541047067	0,325210475	3	0,004031287	0,04219619	0,603113497	0,350659026	3	5,83448E-05	0,017129388	0,519092023	0,463720292	3	0,000108909	0,052288277	0,569959062	0,377643752	3	0,000229213	0,013257531	0,603667974	0,382845193	1
598521007	3	3	9,88585E-05	0,088076101	0,7565824	0,15524264	3	0,065368815	0,136917612	0,663697981	0,134015592	3	0,004173405	0,044239992	0,705179427	0,246407177	3	0,002674689	0,0636812	0,472855717	0,460788459	4	3,40503E-05	0,026706804	0,468155211	0,505103935	3	0,000282422	0,015723888	0,655064762	0,328928947	1
598921001	4	4	1,55229E-05	0,00533603	0,492396276	0,502252171	3	0,053581265	0,079398434	0,455367797	0,411652505	3	0,004121734	0,03400625	0,608016331	0,353855685	4	0,000174173	0,019011071	0,462096512	0,518718183	3	8,16152E-06	0,014809663	0,569345435	0,415836741	3	0,000151893	0,006695988	0,546587765	0,446564406	1
599121001	3	3	2,18131E-05	0,018645453	0,761125497	0,220207236	3	0,056020517	0,092006285	0,604959605	0,247013594	3	0,00429333	0,167949518	0,729517827	0,098239324	3	0,000506889	0,277669638	0,556786597	0,165036902	3	0,00131806	0,201616005	0,572541297	0,224524638	3	0,001325934	0,084484063	0,788182616	0,126007348	1
599131002	3	3	0,000932509	0,34162788	0,616144725	0,041294886	3	0,074650621	0,229207424	0,617703442	0,078438513	3	0,004395964	0,166344747	0,73457396	0,09468533	3	0,007349087	0,22537595	0,571079612	0,196195304	3	0,013691927	0,42624276	0,477192502	0,082872811	3	0,002166977	0,123886578	0,808778942	0,065167502	1
599141012	4	4	1,88885E-05	0,004882379	0,261919316	0,733179416	4	0,046881293	0,068713582	0,140482771	0,743922355	4	0,003952599	0,031722372	0,392948325	0,571376704	4	0,000630002	0,009725201	0,185581103	0,804063737	4	6,74709E-06	0,008973735	0,250647065	0,740372454	4	2,25831E-05	0,000574206	0,280542344	0,718860924	1
599151013	3	3	2,34602E-05	0,017974256	0,808161728	0,173840556	3	0,055105872	0,088199018	0,691560217	0,165134893	3	0,004006939	0,040319055	0,595051841	0,360622165	3	0,000694111	0,041276783	0,481565267	0,476463854	4	0,000182493	0,027485454	0,457897192	0,51443486	3	0,000222619	0,012771732	0,612294078	0,374711514	1
599191001	2	2	0,01519004	0,945296876	0,036429689	0,003083395	2	0,234841794	0,665690856	0,05910088	0,040366471	2	0,183750016	0,645771512	0,161281715	0,009196757	2	0,176917747	0,787326872	0,035520259	0,000235101	2	0,106297762	0,785720606	0,10573176	0,002249872	2	0,132063895	0,766891778	0,101010077	3,42903E-05	1
599211001	4	4	2,70338E-05	0,023641688	0,370284496	0,606046782	4	0,047636492	0,07202644	0,193106009	0,687231058	3	0,004256607	0,104052805	0,714498624	0,177191964	3	0,000574416	0,149911717	0,515968382	0,333545446	3	1,54073E-05	0,165250632	0,423207927	0,411526034	3	0,000856442	0,048453979	0,747356117	0,203333482	1
599271001	3	3	3,29176E-05	0,012820208	0,770330832	0,216816042	3	0,055160881	0,087208672	0,67657854	0,181051906	3	0,004068899	0,055148298	0,700848831	0,239933971	3	0,001020654	0,081639633	0,572511256	0,344828367	3	0,000236588	0,086240718	0,580433882	0,333088811	3	0,000400772	0,025480125	0,730658472	0,243460611	1
