LakeCode	meanTP	minmaxTP	maxTP	meanTN	minmaxTN	maxTN	meanTurb	minmaxTurb	maxTurb	meanWC	minmaxWC	maxWC	meanCond	minmaxCond	maxCond	meanWT	minmaxWT	maxWT	surface_mean_WT	bottom_mean_WT	deltaT	abs_deltaT	thermal_class	n_surface	n_bottom	bottom_DO_mean	bottom_DO_min	surface_DO_mean	surface_DO_min	bottom_pH_min	bottom_pH_mean	bottom_pH_max	surface_pH_min	surface_pH_mean	surface_pH_max	expert	area_m2	SECCIDEPTH	NEWDEPTH	CoordYKJ_East	tyyppi_Lv	tyyppi_Kh	tyyppi_Mh	tyyppi_MRh	tyyppi_MVh	tyyppi_Ph	tyyppi_Vh	tyyppi_PoLa	tyyppi_Rh	tyyppi_Rk	tyyppi_Rr	tyyppi_Sh	tyyppi_SVh	minmaxTCond	ecologystatus
43981001	39.5	40.0	48.0	750.0	850.0	1100.0	6.2375	6.699999999999999	8.7	130.0	140.0	140.0	2.625	2.7	2.7	18.016666666666666	22.15	25.9	18.0	16.066666666666666	1.9333333333333336	1.9333333333333336	1.0	5.0	3.0	6.333333333333333	1.1	8.22	7.0	6.21	6.41	6.61	6.61	6.615	6.62	0.0	1512066.124	1.342	4.5	3642607.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	3
440411001	48.13194444444445	57.16666666666666	70.0	784.4444444444445	906.0	1100.0	5.271388888888889	7.566666666666666	12.0	164.05555555555557	185.0	230.0	5.214722222222222	5.45	5.9	17.339464285714286	20.65	24.8	17.4575	14.47391304347826	2.983586956521739	2.983586956521739	2.0	40.0	23.0	6.447619047619047	1.3	8.377272727272727	7.0	6.2	6.6000000000000005	7.0	6.7	6.833333333333333	7.0	0.0	15012095.26	0.955	14.805	3320521.583333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.45	2
440441010	20.5	21.0	21.0	750.0	790.0	850.0	3.5	4.0	4.0	95.97214902998236	102.95953703703704	109.6111111111111	4.949999999999999	5.1	5.1	17.66671600786301	19.048546296296298	20.040555555555567	17.612182972471686	12.71509713113046	6.336137804506773	6.21145362986627	2.9747745638672236	2.9327513227513227	3.4677314814814832	5.358078958852343	2.4106111111111104	8.7	8.7	6.404294444444455	6.482315277777784	6.5596777777777655	6.7	6.705	6.71	0.0	2181715.306	0.4	0.417	3321066.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1	3
440571001	91.0	91.0	100.0	1033.3333333333333	1033.3333333333333	1200.0	4.683333333333334	5.433333333333334	10.0	275.0	275.0	300.0	4.866666666666667	5.033333333333334	5.4	19.23333333333333	19.566666666666663	24.4	19.23333333333333	16.8	2.4333333333333336	2.4333333333333336	2.0	4.5	1.5	7.3	6.6	6.916666666666666	5.6	6.3	6.375	6.45	6.02	6.16	6.3	0.0	2266151.798	0.612	1.133	3321545.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.033333333333334	1
440711001	62.4	62.4	81.0	840.0	840.0	1000.0	3.966666666666667	3.966666666666667	5.4	187.5	187.5	250.0	4.623333333333334	4.623333333333334	4.9	16.383333333333333	16.383333333333333	17.9	16.383333333333333	15.6	0.7833333333333332	0.7833333333333332	1.0	6.0	6.0	6.5	3.9	7.866666666666667	7.3	7.0	7.0	7.0	7.0	7.0	7.0	0.0	2389932.491	0.788	7.967	3328055.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.623333333333334	2
440731002	64.33333333333333	64.33333333333333	100.0	937.5	937.5	1400.0	3.6062910493827136	4.245344444444449	5.391611111111116	192.5	192.5	250.0	4.225	4.225	4.5	18.48	18.48	22.6	18.48	12.64500223461926	6.303710087901536	6.161212126986076	2.972516396961011	5.0	6.858501322751323	5.375471603813971	1.8899111111111098	8.05	7.3	6.398055555555566	6.483745568783069	6.564344444444437	6.8	6.8	6.8	0.0	2616243.354	0.622	2.315	3338881.6666666665	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.225	2
440831001	38.5	38.5	42.0	760.0	780.0	780.0	3.4000000000000004	4.300000000000001	4.9	112.0	130.0	160.0	4.75	4.9	5.0	17.675	18.450000000000003	19.6	17.675	16.125	1.5500000000000007	1.5500000000000007	1.0	4.0	4.0	6.175	2.5	7.875	6.9	6.8	6.949999999999999	7.1	7.0	7.150000000000001	7.3	0.0	1935331.72	1.306	9.288	3337926.833333333	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	3
440881012	23.0	23.0	23.0	532.5	555.0	560.0	1.35	1.4	1.4	120.0	130.0	130.0	3.35	3.4	3.4	13.35	16.4	16.4	13.35	9.933333333333332	3.416666666666668	3.416666666666668	2.0	2.0	3.0	6.633333333333333	1.9	8.5	7.8	6.1	6.4	6.7	6.6	6.699999999999999	6.8	0.0	1669045.617	1.538	16.125	3341644.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	3
440922001	47.5375	62.4	93.0	818.75	880.0	980.0	3.119166666666667	4.86	9.1	230.0	257.5	300.0	4.077083333333333	5.04	6.2	16.852916666666665	20.1	22.3	16.797916666666666	16.724999999999998	0.3916666666666692	0.3916666666666692	1.0	6.5	12.0	7.475	6.1	7.710606060606061	5.9	6.388477777777775	6.472890053350973	6.5461833333333255	5.1	6.16625	6.56	0.0	14419930.74	0.618	2.809	3302137.294117647	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.04	2
440922002	26.0	26.0	34.0	685.0	690.0	690.0	1.2625000000000002	1.425	2.2	193.75	212.5	250.0	2.400833333333334	2.41	2.7	19.21666666666667	21.0	21.0	19.21666666666667	17.35	1.8666666666666671	1.8666666666666671	1.75	3.5	3.5	6.316666666666666	5.4	7.275	6.8	5.4	5.49	5.58	5.5	5.535	5.57	0.0	4149475.682	0.802	4.431	3302724.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.41	2
