Site_Id,LakeCode,ekoltasoid,palavpdvhs3_ha
39189,711111001,3.0,"108307,84"
39190,711111001,3.0,"108307,84"
39191,711111208,4.0,"251,08"
39192,711111208,4.0,"251,08"
39193,711111220,1.0,"43,82"
39194,711111221,,
39195,711111221,,
39197,711111001,3.0,"108307,84"
39198,711111001,3.0,"108307,84"
39199,711111259,,
39200,711111261,,
39201,711111264,,
39202,nan,,
39203,711111001,3.0,"108307,84"
39204,711111001,3.0,"108307,84"
39206,711111269,,
39207,711111001,3.0,"108307,84"
39208,711111001,3.0,"108307,84"
39209,711111001,3.0,"108307,84"
39210,711111001,3.0,"108307,84"
39211,711111001,3.0,"108307,84"
39212,711111001,3.0,"108307,84"
39213,711111001,3.0,"108307,84"
39214,711221018,4.0,"106,16"
39215,711221018,4.0,"106,16"
39216,711221018,4.0,"106,16"
39217,711111016,,
39218,711211016,,
39220,711231001,4.0,"610,86"
39221,711231001,4.0,"610,86"
39222,711231001,4.0,"610,86"
39226,711311002,1.0,"87,55"
39227,711311002,1.0,"87,55"
39228,711311002,1.0,"87,55"
39229,711311002,1.0,"87,55"
39230,711321001,1.0,"452,36"
39231,711321001,1.0,"452,36"
39232,711321001,1.0,"452,36"
39233,711321001,1.0,"452,36"
39234,711321001,1.0,"452,36"
39235,711321001,1.0,"452,36"
39236,711321001,1.0,"452,36"
39237,711321001,1.0,"452,36"
39238,711321001,1.0,"452,36"
39239,711321001,1.0,"452,36"
39240,711321001,1.0,"452,36"
39241,711321001,1.0,"452,36"
39242,711311001,,
39244,711451009,,
39245,711421001,3.0,"686,92"
39246,711421001,3.0,"686,92"
39250,711611010,,
39251,711611013,,
39253,711711001,3.0,"4224,67"
39254,711711001,3.0,"4224,67"
39255,711741002,4.0,"429,33"
39256,711711001,3.0,"4224,67"
39257,711741002,4.0,"429,33"
39258,711711001,3.0,"4224,67"
39259,711911001,2.0,"68,66"
39260,711921004,4.0,"242,33"
39261,711931082,,
39262,711931001,2.0,"1463,14"
39263,711931049,,
39264,711931048,,
39265,711931050,,
39266,711931033,4.0,"111,3"
39267,712121001,4.0,"422,27"
39272,712111016,,
39281,712111016,,
39282,712211001,4.0,"2072,89"
39283,712211001,4.0,"2072,89"
39284,712211001,4.0,"2072,89"
39285,712211010,,
39286,712211013,,
39287,712211014,,
39288,712211011,,
39289,712211013,,
39290,712221005,4.0,"179,06"
39291,712221005,4.0,"179,06"
